127.0.0.1 - - [25/Feb/2017:15:26:23 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:17:17 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:17:17 -0800] "GET /Assignment_2/jsp/login.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:17:23 -0800] "GET /Assignment_2/LoginServlet?username=dkempe&password=dkempe HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:17:23 -0800] "GET /Assignment_2/html/menu.html HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:17:23 -0800] "GET /Assignment_2/css/menu.css HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:17:26 -0800] "GET /Assignment_2/html/movie_menu.html HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:17:28 -0800] "GET /Assignment_2/jsp/search.jsp?search=title HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:17:28 -0800] "GET /Assignment_2/css/search.css HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:27:36 -0800] "GET /Assignment_2/SearchServlet?search_param=big HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:27:39 -0800] "GET /Assignment_2/SearchServlet?search_param=big HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:27:41 -0800] "GET /Assignment_2/SearchServlet?search_param=big HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:27:41 -0800] "GET /Assignment_2/SearchServlet?search_param=big HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:27:41 -0800] "GET /Assignment_2/SearchServlet?search_param=big HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:31:34 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:31:34 -0800] "GET /Assignment_2/jsp/login.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:32:35 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:35:21 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:36:00 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:36:12 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
