0:0:0:0:0:0:0:1 - - [08/May/2017:09:40:39 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:09:40:40 -0700] "GET /haley_website/images/linkedinLogo.png HTTP/1.1" 200 17939
0:0:0:0:0:0:0:1 - - [08/May/2017:09:40:40 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:00 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:00 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:00 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:00 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:01 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:01 -0700] "GET /haley_website/images/linkedinLogo.png HTTP/1.1" 200 17939
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:01 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:44 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:44 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:44 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:44 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:44 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:44 -0700] "GET /haley_website/images/linkedinLogo.png HTTP/1.1" 200 17939
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:45 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:48 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:49 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:49 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:49 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:49 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:49 -0700] "GET /haley_website/images/linkedinLogo.png HTTP/1.1" 200 17939
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:50 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:53 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:53 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:53 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:53 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:53 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:53 -0700] "GET /haley_website/images/linkedinLogo.png HTTP/1.1" 200 17939
0:0:0:0:0:0:0:1 - - [08/May/2017:09:41:53 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2017:09:42:02 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [08/May/2017:09:42:03 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:09:42:03 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:09:42:03 -0700] "GET /haley_website/images/linkedinLogo.png HTTP/1.1" 200 17939
0:0:0:0:0:0:0:1 - - [08/May/2017:09:42:03 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/May/2017:09:42:03 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:09:42:04 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:36 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:36 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:36 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:36 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:36 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:36 -0700] "GET /haley_website/images/linkedinLogo.png HTTP/1.1" 200 17939
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:37 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:57 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:57 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:57 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:58 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:58 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:09:49:58 -0700] "GET /haley_website/images/linkedinLogo.png HTTP/1.1" 200 17939
